Drug,Cell
MG-132,PCI-30
Pevonedistat,KY821
Camptothecin,A253
Talazoparib,ES7
Dinaciclib,IGR-37
AZD8055,KS-1
Camptothecin,SK-N-SH
SN-38,DMS-53
Daporinad,NCI-H647
Paclitaxel,KMS-11
Dinaciclib,HA7-RCC
AZD7762,GAMG
AZD6738,PCI-6A
Docetaxel_1819,HDLM-2
Paclitaxel,DND-41
Bleomycin (50 uM),GOTO
ABT737,EW-18
Wee1 Inhibitor,SK-N-FI
Docetaxel_1007,MDA-MB-468
Daporinad,NCI-H2009
Bleomycin (50 uM),ES8
Dactolisib,CAL-33
Rapamycin,NCI-H2228
Camptothecin,ONS-76
Camptothecin,RT4
Camptothecin,COR-L32
Paclitaxel,ES8
Irinotecan,A3-KAW
Romidepsin,AMO-1
SN-38,HA7-RCC
Dactolisib,PSN1
Ulixertinib_1908,CHP-212
Sepantronium bromide,UM-UC-3
Paclitaxel,SK-N-SH
Daporinad,IHH-4
Epirubicin,EW-22
Sepantronium bromide,TUR
PD0325901,OVCAR-5
Dihydrorotenone,OCI-AML3
Dinaciclib,NCI-H1915
Dinaciclib,MS-1
Docetaxel_1007,KARPAS-45
Camptothecin,NCI-H1793
Epirubicin,PCI-6A
Paclitaxel,SK-LMS-1
Docetaxel_1007,Detroit562
MG-132,SK-N-DZ
SN-38,MOLT-4
AZD8055,NKM-1
Romidepsin,Mo-T
SCH772984,HCT-116
Gemcitabine,KON
Paclitaxel,OVCA420
MG-132,NB69
Docetaxel_1819,JURL-MK1
Telomerase Inhibitor IX,SKM-1
Dactolisib,SAS
Dactinomycin_1911,TE-6
Mycophenolic acid,HAL-01
Telomerase Inhibitor IX,KYSE-220
Dinaciclib,ME-180
Vinorelbine,TE-441-T
BI-2536,EW-18
BI-2536,PEO1
Topotecan,EW-22
Dinaciclib,STS-0421
Docetaxel_1819,A101D
AZD6738,SUP-B8
Dactolisib,MFM-223
Gemcitabine,Ca-Ski
Romidepsin,LC-1-sq
Sepantronium bromide,SK-MEL-5
MG-132,HCC1569
Romidepsin,VAL
Vinorelbine,SW982
Topotecan,DG-75
BI-2536,NB13
MG-132,HGC-27
BI-2536,U-2-OS
Daporinad,DMS-114
SN-38,YH-13
Gemcitabine,5637
BEN,JURL-MK1
Rapamycin,KALS-1
Romidepsin,RS4-11
JQ1,A3-KAW
Docetaxel_1007,UACC-257
BI-2536,KYSE-510
Rapamycin,SK-GT-4
Camptothecin,D-502MG
Camptothecin,GAK
Romidepsin,JURL-MK1
Paclitaxel,JM1
MG-132,RERF-LC-Sq1
Camptothecin,NCI-H1105
Rapamycin,RH-1
Dactinomycin_1911,MKN7
Vinorelbine,RPMI-8226
AZD8055,KELLY
Docetaxel_1819,EC-GI-10
Dactolisib,5637
Paclitaxel,SK-MEL-5
Romidepsin,PL4
Romidepsin,SW982
SN-38,TC-71
Docetaxel_1007,DOHH-2
Afatinib,NCI-N87
Trametinib,GAK
Irinotecan,SUP-T1
SN-38,BE-13
Romidepsin,Ramos-2G6-4C10
Sepantronium bromide,ASH-3
Camptothecin,OCI-LY-19
Sepantronium bromide,UACC-893
Epirubicin,GDM-1
Romidepsin,PCI-4B
Dactolisib,NCI-H1993
Pevonedistat,SBC-5
Vinorelbine,NCI-H1944
Dinaciclib,HOS
AZD7762,DOHH-2
SN-38,PC-3_[JPC-3]
Romidepsin,PSN1
BI-2536,SKM-1
Paclitaxel,GAK
SN-38,IHH-4
Docetaxel_1007,HDLM-2
Paclitaxel,LAN-6
AZD2014,OPM-2
Dactolisib,PANC-03-27
MG-132,ST486
SN-38,EW-1
Cytarabine,BFTC-905
SCH772984,Calu-6
Docetaxel_1007,BHY
Docetaxel_1007,ME-1
SCH772984,NB69
AZD7762,RS4-11
Romidepsin,EMC-BAC-2
Paclitaxel,FTC-133
SN-38,KP-4
Docetaxel_1819,BE-13
BI-2536,SIMA
Camptothecin,NCI-H1755
MG-132,SW626
Buparlisib,ES1
Epirubicin,L-363
Dactinomycin_1911,NCI-H2141
Camptothecin,CL-11
Dactinomycin_1911,HCC-44
Sepantronium bromide,HDQ-P1
Camptothecin,SK-MEL-28
Daporinad,KU812
Gemcitabine,GDM-1
Dabrafenib,OV-90
MG-132,no-11
Cisplatin,ARH-77
Buparlisib,NB13
PLX-4720,UACC-62
Dinaciclib,ARH-77
Rapamycin,EW-16
AZD8055,MFH-ino
Paclitaxel,GP5d
Romidepsin,L-363
Gemcitabine,RKO
Docetaxel_1007,PL-21
MG-132,RC-K8
Romidepsin,NCI-H1793
Rapamycin,BHT-101
Dactinomycin_1911,RL95-2
Dactinomycin_1911,DK-MG
Topotecan,HCT-116
Docetaxel_1819,SBC-5
Dactinomycin_1911,BFTC-905
AZD7762,HCC1395
Paclitaxel,RC-K8
Topotecan,SK-N-DZ
Epirubicin,JHOS-4
Gemcitabine,HSC-4
AZD7762,KY821
Tanespimycin,PCI-15A
Pevonedistat,BB65-RCC
Epirubicin,OV-7
Nilotinib,KU812
Pevonedistat,COLO-205
Vinorelbine,MDST8
Camptothecin,KY821
Paclitaxel,ES-2
Dactinomycin_1911,ML-1
Dinaciclib,BB65-RCC
Romidepsin,NB10
Romidepsin,SU8686
Epirubicin,A549
Gemcitabine,STS-0421
Epirubicin,RCH-ACV
Trametinib,CL-11
Docetaxel_1007,CCK-81
Pevonedistat,HSC-4
Paclitaxel,DoTc2-4510
Dactinomycin_1911,ES1
Epirubicin,JM1
Dactinomycin_1911,MN-60
Camptothecin,ASH-3
Epirubicin,EW-16
Dinaciclib,SNU-407
Topotecan,EW-11
Pevonedistat,A388
MG-132,ES4
MG-132,RH-18
Dactinomycin_1911,CAL-33
Vinorelbine,COR-L311
Trametinib,SUIT-2
Dactolisib,NCI-H1915
AZD7762,ES1
Sepantronium bromide,HPAC
Rapamycin,MDA-MB-415
AZD7762,SAS
Pevonedistat,RERF-LC-Sq1
Schweinfurthin A,HC-1
Daporinad,CRO-AP2
Trametinib,OE33
PD0325901,LS-411N
5-azacytidine,JiyoyeP-2003
Romidepsin,769-P
Docetaxel_1007,MG-63
Epirubicin,HCC1569
Dinaciclib,OCUB-M
Dinaciclib,HSC-4
Romidepsin,MDST8
Epirubicin,A172
MK-8776,SUP-B8
SN-38,COLO-684
Schweinfurthin A,MDST8
Rapamycin,HLE
Epirubicin,COLO-205
ABT737,P31-FUJ
Cisplatin,A3-KAW
BI-2536,GOTO
Dactinomycin_1911,KMRC-20
Rapamycin,BL-41
Dinaciclib,KON
Dactolisib,NCI-H929
Topotecan,Ca-Ski
Dactolisib,U-698-M
Dactinomycin_1911,AU565
SN-38,HC-1
Docetaxel_1007,DMS-114
Vinorelbine,JM1
AZD5991,BL-41
Epirubicin,NCI-H2023
Dactinomycin_1911,NB5
Daporinad,SW1088
Dinaciclib,TGW
AZD7762,ESO51
Mycophenolic acid,NB69
Romidepsin,CHSA8926
Paclitaxel,Hs-633T
Camptothecin,BPH-1
AZD7762,GOTO
Docetaxel_1007,KNS-42
Gemcitabine,KP-N-YN
Docetaxel_1819,EW-16
Camptothecin,NALM-6
Dactinomycin_1911,CCK-81
Docetaxel_1007,ES7
Romidepsin,ESO51
BI-2536,NB1
Dihydrorotenone,HTC-C3
Rapamycin,KS-1
Trametinib,PL-21
SCH772984,SK-CO-1
Rapamycin,MOLT-16
Wee1 Inhibitor,JVM-3
SN-38,SK-MEL-3
Rapamycin,TOV-112D
Vinorelbine,TE-6
Lapatinib,CCK-81
Tanespimycin,NCI-H2023
MG-132,IGR-37
Docetaxel_1007,LC4-1
Epirubicin,SU-DHL-10
Epirubicin,VA-ES-BJ
Vinorelbine,D-283MED
SN-38,SW620
Tanespimycin,KP-4
Cytarabine,COR-L311
PD0325901,SK-MEL-30
AZD7762,CCK-81
Gemcitabine,ST486
Vinorelbine,MOLT-16
Cytarabine,AMO-1
AZD5363,HO-1-u-1
Ulixertinib_1908,OCI-AML3
Rapamycin,EW-11
Topotecan,SK-MG-1
Gemcitabine,LC4-1
Docetaxel_1007,SW1990
Dactolisib,NCI-H2110
Dactinomycin_1911,BHT-101
Trametinib,NCC021
Sepantronium bromide,MOLT-16
Gemcitabine,MIA-PaCa-2
Sepantronium bromide,PCI-4B
Gemcitabine,MN-60
Docetaxel_1007,KP-4
Dactolisib,COR-L32
BI-2536,HCC-44
Romidepsin,ES4
SN-38,ARH-77
Vinorelbine,SKM-1
Pevonedistat,STS-0421
Dactolisib,NCI-H1755
Gemcitabine,NCI-H2228
MG-132,UACC-62
Rapamycin,KP-4
Trametinib,TE-4
Dactinomycin_1911,SK-N-SH
Epirubicin,PCI-30
Talazoparib,IMR-5
Docetaxel_1007,SF126
Docetaxel_1007,P31-FUJ
Pevonedistat,JVM-3
Docetaxel_1007,CHSA8926
ZM447439,CRO-AP2
Cytarabine,EW-22
Uprosertib_1553,RH-41
Paclitaxel,SISO
Schweinfurthin A,D-283MED
Ulixertinib_1908,SKM-1
Uprosertib_1553,DOHH-2
AZD8055,NCI-H2052
Romidepsin,GDM-1
Sepantronium bromide,Ramos-2G6-4C10
Epirubicin,Hs-633T
Dactolisib,AN3-CA
ZM447439,DOHH-2
Camptothecin,OCI-M1
Dactinomycin_1911,DB
Gemcitabine,YAPC
Dinaciclib,EW-16
Talazoparib,NU-DUL-1
Docetaxel_1007,HOS
SN-38,Jurkat
Epirubicin,GB-1
Dinaciclib,DMS-53
Sepantronium bromide,Hs-633T
Tanespimycin,RCC-JW
MG-132,ONS-76
Trametinib,MZ7-mel
Sepantronium bromide,DoTc2-4510
Vinorelbine,IGR-37
Dinaciclib,PANC-08-13
Rapamycin,SK-N-SH
Rapamycin,NCI-H82
Docetaxel_1819,KYSE-410
Topotecan,GOTO
Rapamycin,KGN
Trametinib,PE-CA-PJ15
Sepantronium bromide,RCC-JF
Docetaxel_1007,OVKATE
Romidepsin,KY821
Daporinad,Ca-Ski
Dactolisib,NCI-H2347
PD0325901,MZ7-mel
Dactinomycin_1911,SNU-175
Schweinfurthin A,JHH-1
Dinaciclib,LAN-6
Vinorelbine,NB10
AZD7762,PWR-1E
PD0325901,BFTC-905
Dactinomycin_1911,NMC-G1
Dactolisib,TE-10
Pevonedistat,KU812
Paclitaxel,T-T
PAK_5339,A3-KAW
Dactinomycin_1911,MFM-223
Selumetinib_1736,SCC90
Topotecan,LC4-1
Docetaxel_1007,SUIT-2
Daporinad,UACC-62
Daporinad,no-11
Topotecan,RT4
Sepantronium bromide,ZR-75-30
Telomerase Inhibitor IX,HGC-27
SN-38,IST-MEL1
Paclitaxel,KYSE-220
Daporinad,NCI-H748
Rapamycin,TGBC11TKB
Cisplatin,EW-22
Sepantronium bromide,COR-L311
ZM447439,ALL-PO
MG-132,HCC1395
Tanespimycin,PCI-4B
Camptothecin,KNS-42
Dactolisib,HCC2157
Docetaxel_1007,Mo-T
Tanespimycin,SU-DHL-5
Vinorelbine,COLO-205
Daporinad,PC-3_[JPC-3]
Telomerase Inhibitor IX,WIL2-NS
BI-2536,AM-38
Dihydrorotenone,D-263MG
Dinaciclib,SIMA
Tanespimycin,MFM-223
Gemcitabine,NCI-H1781
Docetaxel_1819,SW626
Trametinib,RERF-LC-Sq1
Dactinomycin_1911,NB13
Dinaciclib,CRO-AP2
Telomerase Inhibitor IX,HAL-01
Dihydrorotenone,SK-MEL-5
Dabrafenib,JVM-3
JQ1,BV-173
Paclitaxel,DMS-53
MG-132,NCI-H716
SN-38,A375
Docetaxel_1819,NCI-H524
Sepantronium bromide,CAL-85-1
Docetaxel_1819,OCI-AML5
SN-38,CHP-134
AZD8055,A172
BI-2536,CAL-85-1
Epirubicin,JiyoyeP-2003
Camptothecin,Hs-683
MG-132,Hs-633T
Dactolisib,Ca-Ski
AZD3759,NCI-H322M
Epirubicin,NKM-1
Daporinad,CS1
Epirubicin,A375
Sepantronium bromide,MDA-MB-231
Bleomycin,NCI-H1781
Selumetinib_1736,CP66-MEL
Paclitaxel,BFTC-905
Vinorelbine,SK-MEL-1
Docetaxel_1007,PE-CA-PJ15
MG-132,SU-DHL-10
Tanespimycin,KMRC-20
Paclitaxel,DAN-G
Schweinfurthin A,MDA-MB-468
Pevonedistat,MDST8
Selumetinib_1062,NCI-H727
JQ1,NB69
Romidepsin,LS-411N
Trametinib,NOMO-1
SN-38,TT
Topotecan,MIA-PaCa-2
Dinaciclib,SK-LU-1
Lapatinib,NCI-N87
SN-38,SW962
Dactinomycin_1911,SK-MG-1
Telomerase Inhibitor IX,SUP-T1
Cytarabine,ES8
Romidepsin,COLO-668
AZD7762,NCI-H1755
Romidepsin,UACC-62
Sepantronium bromide,ES7
Romidepsin,EW-22
AZD8055,PA-TU-8902
Rapamycin,NCI-H720
Dactinomycin_1911,TE-441-T
Schweinfurthin A,LC4-1
Gemcitabine,SK-N-AS
Camptothecin,Mo-T
Camptothecin,HDQ-P1
Vinorelbine,U031
Buparlisib,L-363
Romidepsin,SK-N-DZ
AZD7762,BPH-1
Paclitaxel,SF126
Dihydrorotenone,TGBC24TKB
Docetaxel_1819,MIA-PaCa-2
Topotecan,Jurkat
Vinorelbine,BB65-RCC
Camptothecin,DBTRG-05MG
MG-132,EW-18
Schweinfurthin A,SU-DHL-5
Dactolisib,PCI-30
Camptothecin,GB-1
Docetaxel_1819,OVCAR-5
Gemcitabine,IHH-4
Paclitaxel,COR-L311
Gemcitabine,SNU-175
SN-38,A673
Rapamycin,BFTC-905
Lapatinib,UACC-893
AZD8055,SK-MES-1
BI-2536,WIL2-NS
Vinorelbine,ONS-76
Camptothecin,HC-1
Schweinfurthin A,DOHH-2
MG-132,DMS-53
BEN,LB996-RCC
Daporinad,U-266
Fludarabine,NCI-H1755
Sepantronium bromide,MFM-223
Dactinomycin_1911,NCI-H69
Trametinib,SK-N-FI
PD0325901,JHU-022
Cytarabine,NCI-H82
Irinotecan,ES1
Romidepsin,SIMA
MG-132,NKM-1
Dinaciclib,HLE
Topotecan,MDA-MB-468
Rapamycin,HCC1395
AZD7762,OCI-LY-19
Camptothecin,EW-11
Trametinib,OCI-AML3
Wee1 Inhibitor,NU-DUL-1
MG-132,CAL-33
Afatinib,NCI-H1781
Docetaxel_1007,YAPC
Dinaciclib,SK-MEL-30
AZD7762,MOLT-16
Romidepsin,OCUB-M
SN-38,DoTc2-4510
Epirubicin,SK-MEL-28
SN-38,HCC2218
Docetaxel_1007,EFO-21
Topotecan,CHP-212
Vinorelbine,FU97
OTX015,JiyoyeP-2003
Pevonedistat,BFTC-905
Vinorelbine,COR-L279
Gemcitabine,A549
Camptothecin,HCC1395
MG-132,SW1088
BMS-536924,ALL-PO
Docetaxel_1007,WM278
Rapamycin,769-P
Uprosertib_2106,Jurkat
Gemcitabine,SK-MEL-28
Paclitaxel,MOLT-16
Dactolisib,RCC-JF
Pevonedistat,A172
SN-38,NCI-H1755
Docetaxel_1007,KYAE-1
Vinorelbine,MDA-MB-361
Dinaciclib,JHH-1
Gemcitabine,EW-1
Bleomycin (50 uM),BFTC-905
Paclitaxel,SIMA
Camptothecin,MDA-MB-468
Cytarabine,TOV-112D
Gemcitabine,DG-75
Selumetinib_1062,OCI-AML3
AZD8055,AMO-1
Gemcitabine,ES7
Schweinfurthin A,TUR
Dactinomycin_1911,OE21
AZD7762,EVSA-T
Dihydrorotenone,C3A
Romidepsin,GAK
GSK-LSD1,KU812
Dinaciclib,KMOE-2
Dactinomycin_1911,LS-123
Epirubicin,DOHH-2
Dinaciclib,NCI-H2110
Rapamycin,OVISE
AZD3759,EC-GI-10
Paclitaxel,KP-N-YN
Dactinomycin_1911,KARPAS-45
Epirubicin,SK-MEL-30
Dactolisib,UACC-893
PD0325901,HCC-44
MG-132,Ca-Ski
Pevonedistat,DG-75
Sepantronium bromide,OVKATE
Afatinib,OE21
Topotecan,ES8
Pevonedistat,HC-1
Sepantronium bromide,Hs-683
Dactolisib,OPM-2
Docetaxel_1007,MKN7
Rapamycin,Hs-633T
Vinorelbine,U-266
Dinaciclib,SK-MEL-2
Telomerase Inhibitor IX,A101D
Wee1 Inhibitor,PL-21
Docetaxel_1819,ONS-76
Docetaxel_1007,SK-LMS-1
Schweinfurthin A,MOLT-16
Sepantronium bromide,NB12
Cytarabine,HCC2998
Docetaxel_1007,OE21
Tanespimycin,ARH-77
Sepantronium bromide,MN-60
Sepantronium bromide,SK-MEL-2
Daporinad,KNS-81-FD
Tanespimycin,Hs-683
AZD7762,NCI-H524
5-azacytidine,OCI-M1
AZD5991,ALL-PO
Rapamycin,PL-21
Tanespimycin,OCI-M1
Epirubicin,TE-8
Vinorelbine,SK-LMS-1
Trametinib,PCI-6A
AZD7762,TGW
Sepantronium bromide,OE33
BI-2536,CS1
MG-132,L-363
Camptothecin,KMS-11
Schweinfurthin A,MHH-CALL-2
Entinostat,JM1
Dactinomycin_1911,TK10
Afatinib,RERF-LC-Sq1
Cytarabine,TC-YIK
ABT737,VAL
Daporinad,HCC-366
Camptothecin,HCC1569
Dactolisib,PC-3_[JPC-3]
Mycophenolic acid,NB10
ABT737,SK-N-SH
Talazoparib,LC4-1
Topotecan,RKO
Romidepsin,NCI-H929
Docetaxel_1819,RL95-2
Camptothecin,SAS
Cytarabine,VAL
Cisplatin,JVM-3
Trametinib,AMO-1
Paclitaxel,L-363
Afatinib,PCI-6A
SN-38,FTC-133
Dinaciclib,JHU-022
AZD7762,NALM-6
MG-132,NCI-H510A
Rapamycin,ES7
Rapamycin,LAN-6
SN-38,SISO
Rapamycin,MSTO-211H
Dactinomycin_1911,HCC1937
AZD8055,HCC1569
Topotecan,OCI-AML5
Epirubicin,ES7
Sepantronium bromide,DK-MG
Cytarabine,CHP-212
Gemcitabine,MOLM-16
SN-38,P31-FUJ
JQ1,HCC2998
Dinaciclib,TK10
MG-132,NCI-H1915
Docetaxel_1007,TE-441-T
Romidepsin,SK-MEL-5
Daporinad,Farage
Dactolisib,Hs-445
Mycophenolic acid,SIMA
Docetaxel_1007,PSN1
MG-132,NCI-H1105
Tanespimycin,ES7
AZD8055,MDA-MB-231
Wee1 Inhibitor,COLO-320-HSR
Vinorelbine,ALL-PO
Daporinad,TGBC11TKB
Gemcitabine,HCT-116
Docetaxel_1819,RPMI-8226
Pevonedistat,NCI-H2023
Vinorelbine,NCI-H1793
Epirubicin,KU812
Selumetinib_1062,MDST8
Telomerase Inhibitor IX,TGW
Sepantronium bromide,A388
Camptothecin,OCI-AML5
Camptothecin,A2058
Dactolisib,TE-6
Dactinomycin_1911,COR-L88
SN-38,NCI-H748
SN-38,CPC-N
Tanespimycin,SK-MES-1
WEHI-539,SW1417
Rapamycin,DND-41
AZD7762,JM1
Romidepsin,NALM-6
Lapatinib,EC-GI-10
Docetaxel_1819,NCI-H322M
Sepantronium bromide,KP-3
I-BET-762,OCI-AML3
Vinorelbine,SCC-4
Topotecan,DMS-79
AZD8055,RS4-11
AZD5363,EVSA-T
Tanespimycin,SNU-175
Vinorelbine,HLE
Sepantronium bromide,PL4
Camptothecin,RKO
WEHI-539,TGW
SN-38,MDA-MB-361
Docetaxel_1819,DOHH-2
Gemcitabine,NCI-H748
AZD7762,NKM-1
Dinaciclib,KALS-1
MG-132,RCC-MF
MG-132,NCI-H2029
Dactolisib,JM1
Docetaxel_1007,RC-K8
Dinaciclib,DU-145
AZD7762,A673
AZD2014,23132-87
Vinorelbine,DMS-79
Docetaxel_1007,LB373-MEL-D
Tanespimycin,NB69
Sepantronium bromide,NOMO-1
Bleomycin,IHH-4
Docetaxel_1007,KS-1
Camptothecin,CHSA8926
Romidepsin,23132-87
AZD8055,ME-180
Docetaxel_1007,JVM-3
OTX015,RH-41
Schweinfurthin A,SKM-1
Docetaxel_1819,23132-87
Daporinad,SKM-1
SN-38,HOS
Rapamycin,NCI-H2196
Tanespimycin,COR-L311
Sepantronium bromide,SKM-1
Docetaxel_1007,RL95-2
Paclitaxel,NCI-H82
AZD6738,RCH-ACV
Sepantronium bromide,SK-N-SH
SCH772984,UACC-62
Sepantronium bromide,AM-38
Rapamycin,A2058
AZD3759,PC-3_[JPC-3]
Docetaxel_1007,SK-MG-1
Docetaxel_1007,CP66-MEL
Epirubicin,LB996-RCC
MG-132,DG-75
AMG-319,RCH-ACV
Docetaxel_1819,DAN-G
Afatinib,BPH-1
Dactinomycin_1911,DMS-53
Rapamycin,Detroit562
Dinaciclib,WIL2-NS
Telomerase Inhibitor IX,JiyoyeP-2003
Epirubicin,RCC-JF
Gemcitabine,ONS-76
Gemcitabine,SBC-5
Paclitaxel,LB996-RCC
Pevonedistat,DMS-114
Docetaxel_1819,GI-1
Pevonedistat,IST-MEL1
Sepantronium bromide,COLO-205
Romidepsin,PA-TU-8902
MG-132,SUIT-2
Paclitaxel,NB5
Dactinomycin_1911,SK-MEL-2
Mycophenolic acid,VAL
BI-2536,TE-4
Docetaxel_1007,A375
PD0325901,NB69
Camptothecin,NCI-H2196
Schweinfurthin A,ARH-77
Tanespimycin,YH-13
Docetaxel_1007,MOLP-8
Rapamycin,SW1417
Epirubicin,RC-K8
MG-132,ASH-3
Sepantronium bromide,IST-MEL1
Paclitaxel,KU812
Dinaciclib,MZ7-mel
Dactolisib,HC-1
Paclitaxel,OVCAR-5
Docetaxel_1819,SAS
Camptothecin,PANC-03-27
PD0325901,UACC-62
Docetaxel_1007,CPC-N
AZD7762,P31-FUJ
Epirubicin,UM-UC-3
Sepantronium bromide,RCC-MF
Dinaciclib,HDQ-P1
Dactinomycin_1911,OAW-42
NVP-ADW742,EW-1
Dinaciclib,Calu-6
Dactinomycin_1911,HSC-4
Gemcitabine,RPMI-8226
GSK591,BL-41
Trametinib,HT-144
Paclitaxel,COLO-205
Gemcitabine,D-263MG
Pevonedistat,HTC-C3
Docetaxel_1007,HGC-27
Camptothecin,HARA
Cytarabine,NCI-H211
Dactinomycin_1911,SKM-1
Epirubicin,IST-SL2
Topotecan,OCI-AML3
Dactolisib,SK-MG-1
Dactolisib,SW982
Sepantronium bromide,MDA-MB-415
Rapamycin,SK-MEL-1
Telomerase Inhibitor IX,NB10
Vinorelbine,ES4
Gemcitabine,CS1
OTX015,SUP-T1
Camptothecin,ME-1
Paclitaxel,RT4
BI-2536,SISO
Epirubicin,HT-3
Rapamycin,NCI-H835
Dabrafenib,SK-MEL-28
Dinaciclib,NCI-H647
Daporinad,OCI-AML3
Rapamycin,OVCAR-5
Epirubicin,MHH-PREB-1
Dinaciclib,JURL-MK1
Rapamycin,ESO51
AZD5991,NOMO-1
Vinorelbine,LS-123
BI-2536,LB373-MEL-D
Daporinad,COLO-320-HSR
SN-38,DMS-79
AZD5991,TGBC11TKB
Camptothecin,OCUB-M
Trametinib,WM278
Sepantronium bromide,RCC10RGB
Epirubicin,SK-N-AS
Trametinib,NCI-H727
SCH772984,ESO51
Vinorelbine,DoTc2-4510
Pevonedistat,MOLT-16
Dinaciclib,HTC-C3
Rapamycin,TGBC24TKB
Topotecan,SNU-175
Paclitaxel,IGR-37
Dihydrorotenone,NCI-H2135
I-BET-762,KMS-11
AZD8055,RH-1
Dactolisib,IST-SL2
MG-132,LC4-1
ABT737,NCI-H69
Paclitaxel,KP-4
SN-38,SCC-4
AZD8055,RCC-JW
Camptothecin,NCI-H1993
Dihydrorotenone,UMC-11
Rapamycin,NCI-H748
Sepantronium bromide,KNS-42
Daporinad,SCC-4
Rapamycin,A549
Trametinib,MDST8
Rapamycin,CPC-N
Vinorelbine,KON
Sepantronium bromide,RERF-LC-Sq1
Dactolisib,A388
BEN,A673
AZD7762,A2058
Sepantronium bromide,NCI-H1993
Vinorelbine,D-263MG
AZD8055,EW-22
Rapamycin,NCI-H1781
Rapamycin,TUR
MG-132,OV-90
Daporinad,DU-145
Rapamycin,MFE-280
Sepantronium bromide,NCI-H2030
Docetaxel_1819,ALL-PO
Sepantronium bromide,KS-1
Schweinfurthin A,MHH-PREB-1
MG-132,KMS-11
Sepantronium bromide,RL95-2
Gemcitabine,NB10
AZD8055,D-263MG
Tanespimycin,ESO51
AZD6738,HAL-01
Dactinomycin_1911,MOLT-4
Trametinib,BE2-M17
Daporinad,DMS-79
Vinorelbine,ME-1
AZD6738,NU-DUL-1
Tanespimycin,OE33
BI-2536,AN3-CA
Talazoparib,EW-11
Daporinad,YAPC
Epirubicin,KP-N-YN
Paclitaxel,MOLM-16
Vinorelbine,NALM-6
Camptothecin,CCK-81
Vinorelbine,A673
Fludarabine,JURL-MK1
Sepantronium bromide,NCI-H2135
SN-38,Detroit562
Topotecan,A673
AZD8055,A375
Daporinad,NCI-H929
Rapamycin,Calu-6
Telomerase Inhibitor IX,SK-N-AS
SN-38,KMRC-1
Gemcitabine,Detroit562
Paclitaxel,MFM-223
Dactinomycin_1911,NCI-H1666
Schweinfurthin A,BE-13
Vinorelbine,G-361
MG-132,RPMI-8226
Camptothecin,NCI-H2110
Paclitaxel,Detroit562
Trametinib,RKO
MG-132,KU812
Rapamycin,SISO
Sepantronium bromide,RMG-I
BI-2536,TE-10
Sepantronium bromide,BV-173
Dactinomycin_1911,NOS-1
Trametinib,MDA-MB-231
Daporinad,STS-0421
PD0325901,KU812
SN-38,MOLM-16
SN-38,RPMI-8866
MG-132,DND-41
Tanespimycin,KYSE-510
BI-2536,RT4
Camptothecin,Calu-6
Trametinib,SKM-1
AZD8055,JIMT-1
MG-132,SK-CO-1
Gemcitabine,VA-ES-BJ
Dactinomycin_1911,SW1417
Dihydrorotenone,DU-145
Vinorelbine,A375
Rapamycin,NCI-H2052
Topotecan,OCI-M1
Uprosertib_2106,ARH-77
Vinorelbine,BE-13
Topotecan,OAW-42
MG-132,GP5d
Rapamycin,NB10
PD0325901,PCI-15A
Rapamycin,EC-GI-10
WEHI-539,BE-13
Docetaxel_1007,TE-8
BI-2536,MOLT-4
Rapamycin,MDA-MB-468
BI-2536,MDST8
Docetaxel_1007,SUP-B8
Docetaxel_1007,TE-12
Paclitaxel,MS-1
Dactolisib,SK-MEL-28
PD0325901,LB373-MEL-D
Camptothecin,PCI-15A
Trametinib,LU-65
SN-38,UACC-893
Dactolisib,SISO
BI-2536,PL4
BI-2536,AMO-1
Dinaciclib,SU-DHL-5
PD0325901,SK-MES-1
MG-132,AM-38
Telomerase Inhibitor IX,NCI-H82
ABT737,NOS-1
OTX015,GDM-1
Topotecan,HT-3
SN-38,JM1
Sepantronium bromide,UMC-11
Topotecan,SK-MM-2
Dactinomycin_1911,TE-8
Dinaciclib,VCaP
Dactinomycin_1911,SCC-15
Romidepsin,CAL-85-1
Tanespimycin,DoTc2-4510
Dactolisib,U-118-MG
Dinaciclib,KS-1
Dactolisib,SF295
Topotecan,MOLT-16
Epirubicin,SAS
AZD8055,HAL-01
Dactinomycin_1911,SK-N-FI
Vinorelbine,PWR-1E
Trametinib,SK-N-AS
Dactolisib,NB12
Rapamycin,SNB75
Vinorelbine,KALS-1
Paclitaxel,SW626
Tanespimycin,A549
Dactinomycin_1911,SW626
ABT737,TGW
Entinostat,MOLT-16
BI-2536,SK-N-DZ
Docetaxel_1007,AN3-CA
Camptothecin,NB69
MK-8776,HSC-39
Vinorelbine,EW-18
Docetaxel_1819,HCC-366
Daporinad,BL-41
Tanespimycin,EW-1
Camptothecin,769-P
Rapamycin,DMS-79
Epirubicin,ES-2
Tanespimycin,EC-GI-10
SN-38,SNU-175
Sepantronium bromide,NCI-H835
Cytarabine,SUP-T1
Vinorelbine,EW-16
Daporinad,SNB75
Romidepsin,NCI-H2135
AZD8055,NCI-H322M
Romidepsin,OV-90
Talazoparib,OCI-LY-19
Camptothecin,RCC10RGB
Rapamycin,RPMI-8866
MG-132,U-2-OS
Rapamycin,HCC-366
MG-132,FU97
Sepantronium bromide,LC4-1
Docetaxel_1819,769-P
Dinaciclib,KYSE-510
Cytarabine,Hs-445
Rapamycin,PANC-10-05
Paclitaxel,MG-63
Dactolisib,EKVX
